LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh)
380.04779049999996,5.31133604,416.3289078
453.76919560000005,5.672166824,519.9175111000001
306.3765869,5.216036797,390.9000158
419.6459045,5.659674168,516.127569
380.6506958,5.5779409410000005,491.702972
402.3919983,5.6040520670000005,499.436385
447.60571289999996,5.7930078510000005,557.3723633
387.2421875,5.306049824,414.89817880000004
463.65121460000006,5.584629059,493.67765210000005
439.725708,5.523228167999999,475.7067828
498.1817017,5.7241158489999995,535.841397
526.8162231000001,5.934198856,603.0140765
710.5872803,6.5474138260000005,824.6625136
655.1942749,6.1997461320000005,693.4726411
754.7625122000001,6.505383015,808.0981385
790.1732787999999,6.634116173,859.4590207999998
742.9852905,6.378912926,759.4345366
748.2296142999999,6.446652889,785.2810099
736.6478271000001,6.415082932000001,773.1728635
787.2462158,6.437530993999999,781.7712157000001
722.8640747000001,6.220024109,700.7646999
935.0333862,6.89802599,970.7366268999999
1220.609009,7.60971117,1315.048928
1053.7719730000001,7.288355827,1151.265744
1493.807983,7.943101883,1497.583724
1724.488037,8.376161575,1752.1996620000002
1636.935059,8.23695755,1668.470707
1385.4880369999998,7.8795909879999995,1461.815791
1098.932007,7.101376057,1062.285034
1021.4580080000001,6.955307007,995.9958546
1164.892944,7.098298073,1060.859712
1073.3320310000001,6.953630924,995.2509607999999
1165.307983,7.2495779989999996,1132.416861
1177.98999,7.294691086,1154.365305
1170.536011,7.376369952999999,1194.843099
1145.536011,7.448554038999999,1231.430706
1114.0269779999999,7.23925209,1127.4332060000002
1153.185059,7.329211235,1171.355044
1125.331055,7.139705181,1080.139085
1228.732056,7.474228859,1244.633534
1021.79303,7.033174037999999,1030.992686
957.3781738,6.886455058999999,965.6833344
909.8878174,6.887821197999999,966.2791049000001
1000.9539789999999,7.216432095,1116.4718990000001
1024.4780269999999,7.0685977939999995,1047.170231
1009.5339970000001,6.938295841,988.4519406999999
899.4929810000001,6.536687851,820.4166586
725.1101074,6.1806249620000004,686.6369422
585.2593994,5.816825867,564.9276595
443.91390989999996,5.450150967000001,454.77358710000004
565.2537842,5.81814909,565.3490932
644.0377808,6.130272865,668.8235693
712.0588989,6.347077847,747.4606734
737.3947754,6.347436905,747.5951091
725.868103,6.194368839,691.5463342999999
408.997406,4.977198124,330.41763039999995
628.4368286,5.959111214,611.2838365
716.1005859,6.21137619,697.6494744
711.4956055,6.111453056,662.235163
838.1519165,6.456322192999999,789.0114223999999
881.0620728,6.666657925,872.7396259
663.703125,6.16287899,680.3278917
578.2615967,6.013167857999999,628.4425607999999
465.62008669999994,5.561203002999999,486.7795676
311.0509033,4.9607319830000005,326.41102539999997
230.0554962,4.60387516,244.31624419999997
233.9906006,4.554533958,233.63278050000002
175.5921936,4.26362896,173.5736631
118.1331024,3.8941390510000002,108.57122109999999
142.2024994,4.038761139,130.22998959999998
212.5661926,4.505650997,223.1967841
222.6100006,4.543397903,231.24250730000003
194.1811981,4.323760986,185.5984796
82.64074707,3.6344370839999995,68.5028198
75.8952179,3.705512047,78.39616535
41.94723892,3.253968,29.28695563
118.5345993,3.775136948,88.87136533
250.75590519999997,4.693500996,264.1192574
346.8644104,5.0029392239999995,336.7219982
416.4179077,5.364749908,430.92108899999994
331.94149780000004,5.016181946000001,339.9849402
583.4799194,5.9704079629999995,615.0556307999999
776.5526732999999,6.655520916,868.1808448999999
752.7263793999999,6.600903988,846.0294095
589.0731201,5.981378078,618.7314427
1109.128052,7.424593925,1219.199787
1482.459961,8.186451912,1638.508909
1523.430054,8.27493,1691.147039
1572.170044,8.449202538,1796.76309
1698.939941,8.575974464,1875.0471969999999
1616.845947,8.282259941,1695.538777
1796.823975,8.734552382999999,1974.4758
1885.8609620000002,8.764103889,1993.170712
2327.511963,9.669431686,2568.827129
2499.162109,10.14109039,2876.753616
2820.512939,10.77241993,3186.0298829999997
2812.279053,10.64752007,3133.259224
2530.447021,9.982661247000001,2781.274041
2399.121094,9.874385834,2711.4924579999997
2335.587891,9.785479546,2651.3410089999998
2341.133057,9.614232063,2527.945451
2391.8479,9.618504524,2531.14794
2118.389893,9.098683357,2207.79282
1866.8459469999998,8.677425385,1938.4786010000003
1865.6190190000002,8.774898529,2000.011716
1862.447998,8.689981461,1946.373955
1884.1190190000002,8.631073952000001,1909.416256
1855.776978,8.614569664,1899.1007339999999
1958.133057,9.21884346,2285.917032
2228.24292,10.04951954,2822.50949
2529.291016,10.31871033,2974.8667960000002
2788.25708,10.76675987,3183.72246
2692.929932,10.55825043,3093.110672
2535.353027,10.25072002,2938.394607
2584.665039,10.46477032,3048.823833
2960.183105,11.39078045,3393.645541
3062.978027,11.56554031,3437.597135
3024.39209,11.2802496,3362.6687420000003
3187.9729,11.33677959,3378.826271
3387.228027,11.80463982,3488.248491
3209.018066,11.3635397,3386.244486
3272.665039,11.63259029,3452.881108
3209.698975,11.44476032,3407.867876
3134.518066,11.27190018,3360.225775
2977.824951,11.05900955,3292.880925
3431.772949,12.10377979,3537.173706
3604.209961,12.92813969,3597.4694670000003
3601.327881,13.31941986,3600.0
3604.426025,13.12152004,3600.0
3604.391113,13.23544979,3600.0
3604.3378909999997,13.23589993,3600.0
3554.687988,13.02956009,3600.0
3479.4079590000006,12.96393967,3597.794635
3472.3330079999996,12.90295029,3597.13106
3491.510986,12.76634026,3593.7049420000003
3536.989014,12.89834976,3597.0594490000003
3528.658936,12.74211025,3592.8143130000003
3581.540039,12.31826019,3562.990095
3570.079102,12.41880989,3572.556143
3597.604004,12.54298973,3582.204643
3441.025879,12.67599964,3589.945634
3373.969971,13.00304985,3600.0
3369.812988,13.29767036,3600.0
3375.9030759999996,12.84405994,3595.984792
3377.649902,12.70538998,3591.300461
3374.423096,12.1833601,3547.627655
3401.0810549999997,12.20514011,3550.307222
3469.4121090000003,12.60188007,3585.959181
3511.809082,12.84455013,3595.996394
3536.759033,12.49705982,3578.9115549999997
3467.8081049999996,12.09607029,3536.1051390000002
3460.6770020000004,12.19612026,3549.206917
3589.443115,12.55035019,3582.702554
